0 | 1 | 50 
1 | 1 | 51 
2 | 1 | 49 
3 | 1 | 50 
4 | 1 | 50 
5 | 1 | 49 
6 | 1 | 48 
7 | 1 | 50 
8 | 1 | 48 
9 | 1 | 49 
10 | 1 | 49 
11 | 1 | 51 
12 | 1 | 50 
13 | 1 | 50 
14 | 1 | 51 
15 | 1 | 50 
16 | 2 | 50 51 
17 | 2 | 50 51 
18 | 2 | 50 49 
19 | 1 | 50 
20 | 1 | 51 
21 | 1 | 49 
22 | 2 | 51 50 
23 | 1 | 51 
24 | 1 | 51 
25 | 1 | 50 
26 | 1 | 49 
27 | 1 | 50 
28 | 1 | 50 
29 | 1 | 51 
30 | 2 | 48 51 
31 | 1 | 48 
32 | 1 | 50 
33 | 2 | 49 48 
34 | 1 | 48 
35 | 3 | 50 51 48 
36 | 1 | 48 
37 | 1 | 51 
38 | 1 | 51 
39 | 1 | 51 
40 | 1 | 48 
41 | 2 | 48 51 
42 | 1 | 51 
43 | 2 | 48 51 
44 | 1 | 49 
45 | 2 | 48 51 
46 | 1 | 51 
47 | 1 | 49 
48 | 1 | 48 
49 | 1 | 49 
50 | 1 | 50 
51 | 1 | 51 
0.875
