0 | 1 | 51 
1 | 1 | 53 
2 | 1 | 53 
3 | 1 | 50 
4 | 2 | 52 51 
5 | 1 | 51 
6 | 1 | 51 
7 | 3 | 51 53 52 
8 | 1 | 52 
9 | 1 | 52 
10 | 2 | 51 52 
11 | 1 | 51 
12 | 1 | 50 
13 | 2 | 51 50 
14 | 3 | 50 52 51 
15 | 2 | 52 53 
16 | 1 | 50 
17 | 2 | 50 51 
18 | 1 | 50 
19 | 1 | 53 
20 | 1 | 53 
21 | 3 | 53 51 52 
22 | 1 | 51 
23 | 2 | 51 50 
24 | 2 | 50 51 
25 | 2 | 51 53 
26 | 1 | 51 
27 | 3 | 53 51 52 
28 | 1 | 53 
29 | 1 | 52 
30 | 3 | 51 53 52 
31 | 1 | 51 
32 | 3 | 52 50 51 
33 | 1 | 52 
34 | 1 | 53 
35 | 1 | 53 
36 | 1 | 50 
37 | 1 | 52 
38 | 1 | 52 
39 | 1 | 50 
40 | 1 | 50 
41 | 1 | 50 
42 | 1 | 51 
43 | 1 | 50 
44 | 3 | 50 52 51 
45 | 1 | 51 
46 | 2 | 51 50 
47 | 1 | 51 
48 | 1 | 52 
49 | 1 | 52 
50 | 1 | 50 
51 | 1 | 51 
52 | 1 | 52 
53 | 1 | 53 
0.76
