0 | 1 | 73 
1 | 2 | 77 72 
2 | 1 | 74 
3 | 1 | 75 
4 | 2 | 75 74 
5 | 2 | 76 73 
6 | 1 | 73 
7 | 1 | 74 
8 | 1 | 76 
9 | 1 | 72 
10 | 1 | 76 
11 | 1 | 73 
12 | 1 | 75 
13 | 1 | 76 
14 | 1 | 74 
15 | 1 | 74 
16 | 1 | 73 
17 | 1 | 72 
18 | 1 | 76 
19 | 1 | 72 
20 | 1 | 76 
21 | 1 | 74 
22 | 1 | 73 
23 | 2 | 75 73 
24 | 4 | 77 74 76 72 
25 | 1 | 73 
26 | 1 | 72 
27 | 1 | 75 
28 | 1 | 75 
29 | 1 | 76 
30 | 1 | 72 
31 | 2 | 77 74 
32 | 2 | 72 73 
33 | 1 | 74 
34 | 1 | 77 
35 | 1 | 72 
36 | 3 | 73 76 75 
37 | 1 | 77 
38 | 2 | 77 74 
39 | 5 | 76 74 75 77 72 
40 | 1 | 73 
41 | 1 | 76 
42 | 1 | 73 
43 | 1 | 74 
44 | 1 | 74 
45 | 1 | 75 
46 | 1 | 73 
47 | 1 | 76 
48 | 1 | 73 
49 | 2 | 73 75 
50 | 1 | 73 
51 | 1 | 75 
52 | 1 | 75 
53 | 1 | 74 
54 | 5 | 75 76 74 73 77 
55 | 1 | 74 
56 | 2 | 75 73 
57 | 2 | 76 73 
58 | 1 | 73 
59 | 2 | 72 76 
60 | 1 | 73 
61 | 1 | 74 
62 | 1 | 75 
63 | 1 | 73 
64 | 1 | 72 
65 | 1 | 76 
66 | 1 | 76 
67 | 1 | 73 
68 | 1 | 74 
69 | 2 | 76 72 
70 | 2 | 72 77 
71 | 2 | 75 74 
72 | 1 | 72 
73 | 1 | 73 
74 | 1 | 74 
75 | 1 | 75 
76 | 1 | 76 
77 | 1 | 77 
0.833333
